Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Nettles J., Brayer N., Jenner C., Ngo A., Putnam C., Shank T., Todd A., Beling P.","56730373900;56730909000;56730360100;56730293200;56730214300;56730382000;55496521200;6603732790;","Forecasting intraday volume distributions",2015,"2015 Systems and Information Engineering Design Symposium, SIEDS 2015",,, 7117019,"97","102",,1,"10.1109/SIEDS.2015.7117019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937597610&doi=10.1109%2fSIEDS.2015.7117019&partnerID=40&md5=5dfdb15e573da2e1023d3abddc19b494","Department of Systems and Information Engineering, University of Virginia, United States","Nettles, J., Department of Systems and Information Engineering, University of Virginia, United States; Brayer, N., Department of Systems and Information Engineering, University of Virginia, United States; Jenner, C., Department of Systems and Information Engineering, University of Virginia, United States; Ngo, A., Department of Systems and Information Engineering, University of Virginia, United States; Putnam, C., Department of Systems and Information Engineering, University of Virginia, United States; Shank, T., Department of Systems and Information Engineering, University of Virginia, United States; Todd, A., Department of Systems and Information Engineering, University of Virginia, United States; Beling, P., Department of Systems and Information Engineering, University of Virginia, United States","Over the past twenty years, trading in financial markets has evolved from a human-oriented process to one that is highly automated. One of the most influential and revolutionary processes in financial markets is algorithmic trading. The focus of this work is to increase trading efficiency by improving the accuracy of intraday volume forecasts, which are used in algorithmic trading. An intraday volume forecast predicts the distribution of trading volume throughout the day, and allows traders to make better decisions regarding the timing and quantity of their trades. An accurate intraday volume forecast is an important input to trading decisions and will ultimately improve traders' ability to meet benchmarks, such as volume weighted average price. This work seeks to understand the performance of three classes of models: moving average, exponentially weighted moving average, and average exponentially weighted moving average, for intra-day volume prediction over a large sample of U.S. equities. For each model, we explore a broad range of parameterizations and seek to understand how various factors affect model performance. Models are evaluated based on a variety of different metrics, such as mean square error and maximum absolute deviation. We report on the best performing models for a variety of stocks and scenarios. Overall, the average exponentially weighted moving average model performed the best across the examined parameters. © 2015 IEEE.","Algorithmic Trading; Exponentially Weighted Moving Average; Moving Average; Volume Profile","Algorithms; Finance; Financial data processing; Financial markets; Forecasting; Mean square error; Algorithmic trading; Exponentially weighted moving average; Maximum absolute deviations; Moving averages; Trading efficiency; Volume distributions; Volume Profile; Volume-weighted averages; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-84937597610
"Kumaresan M., Krejić N.","26428239800;6603438813;","Optimal trading of algorithmic orders in a liquidity fragmented market place",2015,"Annals of Operations Research","229","1",,"521","540",,2,"10.1007/s10479-015-1815-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028226544&doi=10.1007%2fs10479-015-1815-7&partnerID=40&md5=b882278bf2190c7c51f95bd26c653442","Algonetix LLP, Berkeley Square House, Berkeley Square, London, W1J 6BD, United Kingdom; Department of Mathematics and Informatics, University of Novi Sad, Trg Dositeja Obradovića 4, Novi Sad, 21000, Serbia","Kumaresan, M., Algonetix LLP, Berkeley Square House, Berkeley Square, London, W1J 6BD, United Kingdom; Krejić, N., Department of Mathematics and Informatics, University of Novi Sad, Trg Dositeja Obradovića 4, Novi Sad, 21000, Serbia","An optimization model for the execution of algorithmic orders at multiple trading venues is herein proposed and analyzed. The optimal trajectory consists of both market and limit orders, and takes advantage of any price or liquidity improvement in a particular market. The complexity of a multi-market environment poses a bi-level nonlinear optimization problem. The lower-level problem admits a unique solution thus enabling the second order conditions to be satisfied under a set of reasonable assumptions. The model is computationally affordable and solvable using standard software packages. The simulation results presented in the paper show the model’s effectiveness using real trade data. From the outset, great effort was made to ensure that this was a challenging practical problem which also had a direct real world application. To be able to estimate in realtime the probability of fill for tens of thousands of orders at multiple price levels in a liquidity fragmented market place and finally carry out an optimization procedure to find the most optimal order placement solution is a significant computational breakthrough. © Springer Science+Business Media New York 2015.","Algorithmic trading; Fill probability; Multiple trading venues; Nonlinear programming; Optimal execution strategy; Price impact",,Article,"Final",,Scopus,2-s2.0-85028226544
"Najafi M., Sadoghi M., Jacobsen H.-A.","57193429364;22938862200;7103073434;","Configurable hardware-based streaming architecture using Online Programmable-Blocks",2015,"Proceedings - International Conference on Data Engineering","2015-May",, 7113336,"819","830",,12,"10.1109/ICDE.2015.7113336","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940877171&doi=10.1109%2fICDE.2015.7113336&partnerID=40&md5=4b7d7832140d142f6452806562c5f934","MSRG, Technical University Munich, Germany; IBM T. J. Watson Research Center, United States","Najafi, M., MSRG, Technical University Munich, Germany; Sadoghi, M., IBM T. J. Watson Research Center, United States; Jacobsen, H.-A., MSRG, Technical University Munich, Germany","The limitations of traditional general-purpose processors have motivated the use of specialized hardware solutions (e.g., FPGAs) to achieve higher performance in stream processing. However, state-of-the-art hardware-only solutions have limited support to adapt to changes in the query workload. In this work, we present a reconfigurable hardware-based streaming architecture that offers the flexibility to accept new queries and to change existing ones without the need for expensive hardware reconfiguration. We introduce the Online Programmable Block (OP-Block), a ""Lego-like"" connectable stream processing element, for constructing a custom Flexible Query Processor (FQP), suitable to a wide range of data streaming applications, including real-time data analytics, information filtering, intrusion detection, algorithmic trading, targeted advertising, and complex event processing. Through evaluations, we conclude that updating OP-Blocks to support new queries takes on the order of nano to micro-seconds (e.g., 40 ns to realize a join operator on an OP-Block), a feature critical to support of streaming applications on FPGAs. © 2015 IEEE.",,"Computer hardware; Computer hardware description languages; Field programmable gate arrays (FPGA); General purpose computers; Information filtering; Intrusion detection; Query processing; Reconfigurable architectures; Reconfigurable hardware; Social networking (online); Algorithmic trading; Complex event processing; Configurable hardware; General purpose processors; Specialized hardware; Streaming applications; Streaming architecture; Targeted advertising; Hardware",Conference Paper,"Final",,Scopus,2-s2.0-84940877171
"Yamamoto T., Koita T.","57196417110;6507924914;","Distributed computing environment for trading rule search",2015,"6th International Multi-Conference on Complexity, Informatics and Cybernetics, IMCIC 2015 and 6th International Conference on Society and Information Technologies, ICSIT 2015 - Proceedings","2",,,"102","104",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032995958&partnerID=40&md5=132f974d9afe5aa6a59c5fbf36198425","Graduate School, Doshisha University, Japan","Yamamoto, T., Graduate School, Doshisha University, Japan; Koita, T., Graduate School, Doshisha University, Japan","In recent years, many investors have introduced algorithmic trading into investment activities. All of these investors are trying to search an infinite number of trading rules to find a useful one, which is the most important factor in algorithmic trading. However, finding a useful trading rule requires a huge amount of search time. A trading rule is represented by a market's index parameters, the possible combinations of which are infinite. Our study goal is to support investors in reducing trading rule search time. For trading rule search, a trading rule with certain parameters is evaluated by simulation. Investors choose a market's index parameters by intuition and experience to reduce the search time. However, their intuition and experience are unstable, and the process of using them is not clear. We define this process of finding a useful rule as trading rule search and design the process as a novel distributed system. Investors who employ our system can search more trading rules in a shorter time than with existing systems. In this paper, we used portable batch system (PBS) in the job management system (JMS) of a distributed system. Also, we check behavior of the distributed system and investigate search time by parameter.","Algorithmic trading; Aws; Cloud computing; Distributed systems; Mapreduce; PBS","Cloud computing; Commerce; Cybernetics; Electronic trading; Investments; Lead; Algorithmic trading; Distributed computing environment; Distributed systems; Existing systems; Index parameters; Infinite numbers; Job management system; Map-reduce; Distributed computer systems",Conference Paper,"Final",,Scopus,2-s2.0-85032995958
"Sun E.W., Kruse T., Yu M.-T.","54959708700;55655432200;7404272515;","High frequency trading, liquidity, and execution cost",2014,"Annals of Operations Research","223","1",,"403","432",,15,"10.1007/s10479-013-1382-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876355717&doi=10.1007%2fs10479-013-1382-8&partnerID=40&md5=968905712373da5da9d16ae47aaa8f86","KEDGE Business School & BEM Management School Bordeaux, 680 Cours de la Libèration, Talance Cedex, 33405, France; d-fine GmbH, Frankfurt am Main, Germany; Institute of Finance, National Chiao Tung University, Hsinchu, 30010, Taiwan","Sun, E.W., KEDGE Business School & BEM Management School Bordeaux, 680 Cours de la Libèration, Talance Cedex, 33405, France; Kruse, T., d-fine GmbH, Frankfurt am Main, Germany; Yu, M.-T., Institute of Finance, National Chiao Tung University, Hsinchu, 30010, Taiwan","We build a model under the framework of discrete optimization to explain how high frequency trading (HFT) can be applied to supply liquidity and reduce execution cost. We derive the analytical properties of our model in finding the optimal solution to minimize the overall execution cost of HFT. We show that the execution cost can be reduced after increasing trading frequency (i.e., the higher the trading frequency, the lower the execution cost) with a simulation study. In addition, we conduct an empirical investigation with tick level data from US equity market through January 2008 to October 2010 to verify our conclusion drawn from the simulation study. Based on the simulation and empirical results we collected, we show that the HFT can reduce the execution cost when supplying liquidity. © 2013, Springer Science+Business Media New York.","Discrete optimization; High frequency trading; Liquidity; Optimal execution; Price impact",,Article,"Final",,Scopus,2-s2.0-84876355717
"Chen C.J., Liu X., Lai K.K.","56445929300;56445990500;55433716400;","Comparisons of strategies on gold algorithmic trading",2014,"Proceedings - 2013 6th International Conference on Business Intelligence and Financial Engineering, BIFE 2013",,, 6961139,"286","290",,,"10.1109/BIFE.2013.61","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917672345&doi=10.1109%2fBIFE.2013.61&partnerID=40&md5=dbe7227d9604d70e1248cabc74838378","DBA, College of Business, City University of Hong Kong, Hong Kong, Hong Kong; Department of Management Sciences, City University of Hong Kong, Hong Kong, Hong Kong; International Business School, Shanxi Normal University, Xi'an, China","Chen, C.J., DBA, College of Business, City University of Hong Kong, Hong Kong, Hong Kong; Liu, X., Department of Management Sciences, City University of Hong Kong, Hong Kong, Hong Kong; Lai, K.K., Department of Management Sciences, City University of Hong Kong, Hong Kong, Hong Kong, International Business School, Shanxi Normal University, Xi'an, China","In this paper, we use intraday COMEX gold futures to evaluate and compare the trading performance of volume weight average price (VWAP) strategy, time weighted average price (TWAP) strategy and implementation shortfall (IS) strategy. We find that they can track the market price very well only when price moves have no trend on the relevant day. And Market impact cost and timing risk cost of the three strategies are proved to be negative correlated. Moreover, we get the result that the timing risk cost of VWAP strategy is the highest and that of IS strategy is the lowest, while the situation of market impact cost is opposite. © 2013 IEEE.","Gold futures; IS; TWAP; VWAP","Commerce; Gold; Iodine; Algorithmic trading; IS strategy; Market impact costs; Market price; Risk costs; Time-weighted averages; TWAP; VWAP; Electronic trading",Conference Paper,"Final",,Scopus,2-s2.0-84917672345
"Chen C.J., Huang Y., Lai K.K.","56445929300;56445945700;55433716400;","A trend tracking strategy for gold future: An artificial neutral network analysis",2014,"Proceedings - 2013 6th International Conference on Business Intelligence and Financial Engineering, BIFE 2013",,, 6961085,"31","35",,1,"10.1109/BIFE.2013.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917671477&doi=10.1109%2fBIFE.2013.8&partnerID=40&md5=99e0aa81c1a7b7203452777393cdd521","Department of Management Sciences, City University of Hong Kong, Hong Kong, Hong Kong; International Business School, Shanxi Normal University, Xi'an, China","Chen, C.J., Department of Management Sciences, City University of Hong Kong, Hong Kong, Hong Kong; Huang, Y., Department of Management Sciences, City University of Hong Kong, Hong Kong, Hong Kong; Lai, K.K., Department of Management Sciences, City University of Hong Kong, Hong Kong, Hong Kong, International Business School, Shanxi Normal University, Xi'an, China","In this paper, we construct a simple data-driven trend tracking strategy for gold future in a view of contrarians. The artificial neutral network (ANN) is adopted to determine the price trend signal, by which the degree of tightness could be adjusted based on observed data. We attempt to capture the small profits when the price is deviated from the Bollinger band in the gold future market by intraday trading. High frequency data of gold future is used to train and test the strategy. Despite of the trading cost, the back-tests show that our strategy has delivered positive returns and is adaptive to different price trends. Finally, we evaluate the profitability with the consideration of trading cost, revealing that the strategy is applicable in practice. © 2013 IEEE.","algorithmic trading; gold future; neural network; technical analysis; trend tracking","Commerce; Gold; Neural networks; Profitability; Algorithmic trading; Artificial neutral network; High frequency data; Observed data; Price trends; Technical analysis; Tracking strategies; Trading cost; Costs",Conference Paper,"Final",,Scopus,2-s2.0-84917671477
"Aghamohammadi C., Ebrahimian M., Tahmooresi H.","41860954700;6508151360;56285807900;","Permutation approach, high frequency trading and variety of micro patterns in financial time series",2014,"Physica A: Statistical Mechanics and its Applications","413",,,"25","30",,8,"10.1016/j.physa.2014.06.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904552472&doi=10.1016%2fj.physa.2014.06.027&partnerID=40&md5=bd497ccbbd8dde4580e0e7fa492883ea","Physics Department, University of California, Davis, CA 95616, United States; Graduate School of Management and Economic, Sharif University of Technology, 8639-11155, Tehran, Iran; Department of Computer Engineering, Sharif University of Technology, 11155-9517, Tehran, Iran","Aghamohammadi, C., Physics Department, University of California, Davis, CA 95616, United States; Ebrahimian, M., Graduate School of Management and Economic, Sharif University of Technology, 8639-11155, Tehran, Iran; Tahmooresi, H., Department of Computer Engineering, Sharif University of Technology, 11155-9517, Tehran, Iran","Permutation approach is suggested as a method to investigate financial time series in micro scales. The method is used to see how high frequency trading in recent years has affected the micro patterns which may be seen in financial time series. Tick to tick exchange rates are considered as examples. It is seen that variety of patterns evolve through time; and that the scale over which the target markets have no dominant patterns, have decreased steadily over time with the emergence of higher frequency trading.© 2014 Elsevier B.V. All rights reserved.","Financial time series; High frequency trading; Micro patterns; Permutation entropy","Commerce; Exchange rates; Financial time series; High-frequency trading; Higher frequencies; Micro pattern; Permutation approach; Permutation entropy; Financial data processing",Article,"Final",,Scopus,2-s2.0-84904552472
"Fiedor P.","56031665500;","Sector strength and efficiency on developed and emerging financial markets",2014,"Physica A: Statistical Mechanics and its Applications","413",,,"180","188",,7,"10.1016/j.physa.2014.06.066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905003368&doi=10.1016%2fj.physa.2014.06.066&partnerID=40&md5=4cfac00e5583be2374c6614803cfe305","Cracow University of Economics, Rakowicka 27, 31-510 Kraków, Poland","Fiedor, P., Cracow University of Economics, Rakowicka 27, 31-510 Kraków, Poland","In this paper we analyse the importance of sectors and market efficiency on developed and emerging financial markets. To perform this we analyse New York Stock Exchange between 2004 and 2013 and Warsaw Stock Exchange between 2000 and 2013. To find out the importance of sectors we construct minimal spanning trees for annual time series consisting of daily log returns and calculate centrality measures for all stocks, which we then aggregate by sectors. Such analysis is of interest to analysts for whom the knowledge of the influence of particular groups of stocks to the market behaviour is crucial. We also analyse the predictability of price changes on those two markets formally, using the information-theoretic concept of entropy rate, to find out the differences in market efficiency between a developed and an emerging market, and between sectors themselves. We postulate that such analysis is important to the study of financial markets as it can contribute to the profitability of investments, particularly in the case of algorithmic trading. © 2014 Elsevier B.V. All rights reserved.","Complex systems; Dependency networks; Price predictability; Sector strength","Efficiency; Investments; Large scale systems; Algorithmic trading; Annual time series; Centrality measures; Dependency networks; Minimal spanning tree; New York Stock Exchange; Price predictability; Sector strength; Commerce",Article,"Final",,Scopus,2-s2.0-84905003368
"Jabbur E., Silva E., Castilho D., Pereira A., Brandão H.","56426527400;55830470500;56401845900;35579191200;56401729200;","Design and evaluation of automatic agents for stock market intraday trading",2014,"Proceedings - 2014 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Workshops, WI-IAT 2014","3",,,"396","403",,8,"10.1109/wi-iat.2014.194","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931677932&doi=10.1109%2fwi-iat.2014.194&partnerID=40&md5=71acc28d881b5f4fc6d71bec7e861719","Federal Center for Tech., Education of MG, Belo Horizonte, Brazil; Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Federal University of Alfenas (UNIFAL-MG), Alfenas, Brazil","Jabbur, E., Federal Center for Tech., Education of MG, Belo Horizonte, Brazil; Silva, E., Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Castilho, D., Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Pereira, A., Federal Center for Tech., Education of MG, Belo Horizonte, Brazil, Federal University of Minas Gerais (UFMG), Belo Horizonte, Brazil; Brandão, H., Federal University of Alfenas (UNIFAL-MG), Alfenas, Brazil","Automated trading has become very popular in electronic markets, such as stock market. The design and evaluation of trading agents are not trivial due to the complexity and dynamics of this scenario. Using an actual and reliable dataset from the Brazilian Stock Exchange, and aiming to support the Market Making process in High-Frequency Trading, in this work we design and evaluate some models of automated agents for stock market intraday trading. The modeled strategies are inspired by the Elliot Wave Principle and based on some technical concepts commonly used by stock market analysts. The results are promising, besides it is clearly that financial gains are not trivial to acquire. A variety of results were observed, part of them providing gains for all assets in specific trading days, and other part showing losses for other trading days. A rich experimental analysis provide interesting findings and insights, which will contribute for designing more effective trading agents. © 2014 IEEE.",,"Electronic trading; Financial markets; Automated agents; Automated trading; Automatic agents; Design and evaluations; Electronic market; Experimental analysis; High-frequency trading; Market analysts; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-84931677932
"Chichin S., Chhetri M.B., Vo Q.B., Kowalczyk R., Stepniak M.","56028330800;55940676600;6603565036;15022817100;56221609300;","Smart cloud marketplace - Agent-based platform for trading cloud services",2014,"Proceedings - 2014 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology - Workshops, WI-IAT 2014","3",,,"388","395",,4,"10.1109/wi-iat.2014.193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931678006&doi=10.1109%2fwi-iat.2014.193&partnerID=40&md5=c14f20c891011a8008fe30b18d8024aa","School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; Systems Research Institute, Polish Academy of Sciences, Warsaw, Poland","Chichin, S., School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; Chhetri, M.B., School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; Vo, Q.B., School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; Kowalczyk, R., School of Software and Electrical Engineering, Swinburne University of Technology, Melbourne, Australia; Stepniak, M., Systems Research Institute, Polish Academy of Sciences, Warsaw, Poland","Cloud computing services are rapidly gaining popularity with more and more businesses actively migrating to the cloud, and many new cloud providers emerging. In such circumstances, there is a need for a market platform that allows for automated trading of cloud services between numerous independent users. Therefore, in this paper we propose Smart Cloud Marketplace (SCM) as a platform for trading cloud services based on intelligent agent technology. Software agents represent the cloud service consumers and providers in the marketplace, and make intelligent decisions on their behalf. The platform enables participants to use different trading policies in order to automate and improve the efficiency of resource trading. Moreover, SCM supports multimarket trading, where different market mechanisms can be deployed. We have used the SCM platform to test different market mechanisms developed within our research group. Our experimental evaluation demonstrates that Smart Cloud Marketplace is a useful, flexible and effective platform for conducting experiments and ultimately for trading cloud services. © 2014 IEEE.",,"Distributed database systems; Intelligent agents; Web services; Automated trading; Cloud computing services; Cloud providers; Experimental evaluation; Intelligent agent technology; Intelligent decisions; Market mechanisms; Research groups; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-84931678006
"Vella V., Ng W.L.","56465679700;24401964100;","Enhancing risk-adjusted performance of stock market intraday trading with Neuro-Fuzzy systems",2014,"Neurocomputing","141",,,"170","187",,21,"10.1016/j.neucom.2014.03.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901603197&doi=10.1016%2fj.neucom.2014.03.026&partnerID=40&md5=264fdecf4203f8dba93474303f25e7e8","Centre for Computational Finance and Economic Agents (CCFEA), University of Essex, Wivenhoe Park, Colchester CO4 3SQ, United Kingdom","Vella, V., Centre for Computational Finance and Economic Agents (CCFEA), University of Essex, Wivenhoe Park, Colchester CO4 3SQ, United Kingdom; Ng, W.L., Centre for Computational Finance and Economic Agents (CCFEA), University of Essex, Wivenhoe Park, Colchester CO4 3SQ, United Kingdom","Whilst the interest of many former studies on the application of AI in finance is solely on predicting market movements, trading practitioners are predominantly concerned about risk-adjusted performance. This paper provides new insights into improving the time-varying risk-adjusted performance of trading systems controlled by Artificial Neural Networks (ANNs), Adaptive Neuro-Fuzzy Systems (ANFIS) or Dynamic Evolving Neuro Fuzzy Systems (DENFIS). Contrary to most former studies which focus on daily predictions, we compare these models in an intraday stock trading scenario using high-frequency data. Firstly, we propose a dynamic extension of the popular moving average rule and enhance it with a model validation methodology using heat maps to analyse favourable profitability in specific holding time and signal regions. Secondly, we study the effect of realistic constraints such as transaction costs and intraday trading hours, which many existing approaches in the literature ignore. Thirdly, unlike most former studies that only aim to minimise statistical error measures, we compare this approach with financially more relevant risk-adjusted objective functions. To this end, we also consider an innovative ANFIS ensemble architecture which on an intraday level dynamically selects between different risk-adjusted models. Our study shows that accounting for transaction costs and the use of risk-return objective functions provide better results in out-of-sample tests. Overall, the ANN model is identified as a viable model, however ANFIS shows more stable time-varying performance across multiple market regimes. Moreover, we find that combining multiple risk-adjusted objective functions using an ANFIS ensemble yields promising results. © 2014 Elsevier B.V.","ANFIS; ANFIS ensemble; ANN; DENFIS; Dynamic moving average; High-frequency trading","Commerce; Neural networks; ANFIS; ANFIS ensemble; ANN; DENFIS; High-frequency trading; Moving averages; Fuzzy systems; adaptive neuro fuzzy system; algorithm; analytical error; article; artificial neural network; commercial phenomena; computer prediction; controlled study; dynamic evolving fuzzy system; fuzzy system; intermethod comparison; mathematical analysis; mathematical computing; mathematical model; priority journal; profit; risk assessment; stock market; trading; validation process",Article,"Final",,Scopus,2-s2.0-84901603197
[No author name available],[No author id available],"Statement of vincent mcgonagle, director of the division of market oversight, commodity futures trading commission. Hearing on ''high frequency and automated trading in futures markets''",2014,"High-Frequency Trading: Elements, Considerations, Perspectives",,,,"149","159",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954339020&partnerID=40&md5=1f720242c07fdcc0e13db8123bef92ba",,"",[No abstract available],,,Book Chapter,"Final",,Scopus,2-s2.0-84954339020
[No author name available],[No author id available],"Testimony of andrei kirilenko, professor of the practice of finance, mit sloan school of management. Hearing on ''high frequency and automated trading in futures markets''",2014,"High-Frequency Trading: Elements, Considerations, Perspectives",,,,"135","143",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954349781&partnerID=40&md5=f1cc18eec08c6d61e89ebe7ca9c54e5e",,"",[No abstract available],,,Book Chapter,"Final",,Scopus,2-s2.0-84954349781
"Massey A.","57057187300;","High-frequency trading: Elements, considerations, perspectives",2014,"High-Frequency Trading: Elements, Considerations, Perspectives",,,,"1","168",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954324528&partnerID=40&md5=72cccda9f18fdec3a2510bbcedb37eda",,"Massey, A.","High-frequency trading (HFT) is a broad term without a precise legal or regulatory definition. It is used to describe what many characterize as a subset of algorithmic trading that involves very rapid placement of orders, in the realm of tiny fractions of a second. This book provides an overview of HFT in the equities and derivatives markets regulated by the SEC and the CFTC. It also examines the Flash Crash of 2010 and the role that HFT may have played, as well as recent regulatory developments. © 2014 by Nova Science Publishers, Inc. All rights reserved.",,,Book,"Final",,Scopus,2-s2.0-84954324528
[No author name available],[No author id available],"Testimony of terrence a. Duffy, executive chairman and president, cme group. Hearing on ''high frequency and automated trading in futures markets''",2014,"High-Frequency Trading: Elements, Considerations, Perspectives",,,,"145","148",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954348605&partnerID=40&md5=9e09ef5e8b90c4eed28f8cd1d61c1f9c",,"",[No abstract available],,,Book Chapter,"Final",,Scopus,2-s2.0-84954348605
"Shorter G., Miller R.S.","56069057600;56073041500;","High-frequency trading: Background, concerns, and regulatory developments",2014,"High-Frequency Trading: Elements, Considerations, Perspectives",,,,"1","61",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954317155&partnerID=40&md5=f6714542c4a8f3353d11edab14366da2",,"Shorter, G.; Miller, R.S.",[No abstract available],,,Book Chapter,"Final",,Scopus,2-s2.0-84954317155
"Staff of the U.S. Securities and Exchange Commission, Division of Trading and Markets","","Equity market structure literature review part ii: High frequency trading",2014,"High-Frequency Trading: Elements, Considerations, Perspectives",,,,"63","103",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954350387&partnerID=40&md5=15abd7f07c38d0dda314e0e9212a1aa3",,"Staff of the U.S. Securities and Exchange Commission, Division of Trading and Markets",[No abstract available],,,Book Chapter,"Final",,Scopus,2-s2.0-84954350387
"Gai J., Choi D.J., O'Neal D., Ye M., Sinkovits R.S.","24278492500;55697948500;7006276163;55827149000;6603355790;","Fast construction of nanosecond level snapshots of financial markets",2014,"Concurrency Computation Practice and Experience","26","13",,"2149","2156",,1,"10.1002/cpe.3220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905100577&doi=10.1002%2fcpe.3220&partnerID=40&md5=f94ac27b4f2e6d15d7edc2f0d5db0846","College of Business, University of Illinois, Urbana-Champaign, IL 15213, United States; San Diego Supercomputer Center, University of California, San Diego, San Diego, CA 92093, United States; Pittsburgh Supercomputing Center, Carnegie Mellon University, Pittsburgh, PA 15213, United States","Gai, J., College of Business, University of Illinois, Urbana-Champaign, IL 15213, United States; Choi, D.J., San Diego Supercomputer Center, University of California, San Diego, San Diego, CA 92093, United States; O'Neal, D., Pittsburgh Supercomputing Center, Carnegie Mellon University, Pittsburgh, PA 15213, United States; Ye, M., College of Business, University of Illinois, Urbana-Champaign, IL 15213, United States; Sinkovits, R.S., San Diego Supercomputer Center, University of California, San Diego, San Diego, CA 92093, United States","The goal of this project is to rapidly construct an order-by-order level snapshot of financial markets with nanosecond resolution time stamps. We are particularly interested in understanding the impact of high-frequency traders on the security, stability, and fairness of these markets. In this paper, we describe our computational approach, the optimizations that were applied to improve the performance of the software by a factor of more than 125×, and the new capabilities that can be enabled using a combination of fast algorithms and XSEDE resources. Copyright © 2014 John Wiley & Sons, Ltd.","high-frequency trading; performance optimization","Finance; Computational approach; Fast algorithms; Financial market; High frequency HF; High-frequency trading; Nanosecond resolution; Performance optimizations; Commerce",Conference Paper,"Final",,Scopus,2-s2.0-84905100577
"Booth A., Gerding E., McGroarty F.","55986802700;6508139443;57203348818;","Automated trading with performance weighted random forests and seasonality",2014,"Expert Systems with Applications","41","8",,"3651","3661",,56,"10.1016/j.eswa.2013.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891714796&doi=10.1016%2fj.eswa.2013.12.009&partnerID=40&md5=dd9526819a29c8d53a6155b79d44d273","Electronics and Computer Science, University of Southampton, SO17 1BJ, United Kingdom; Southampton Management School, University of Southampton, SO17 1BJ, United Kingdom","Booth, A., Electronics and Computer Science, University of Southampton, SO17 1BJ, United Kingdom; Gerding, E., Electronics and Computer Science, University of Southampton, SO17 1BJ, United Kingdom; McGroarty, F., Southampton Management School, University of Southampton, SO17 1BJ, United Kingdom","Seasonality effects and empirical regularities in financial data have been well documented in the financial economics literature for over seven decades. This paper proposes an expert system that uses novel machine learning techniques to predict the price return over these seasonal events, and then uses these predictions to develop a profitable trading strategy. While simple approaches to trading these regularities can prove profitable, such trading leads to potential large drawdowns (peak-to-trough decline of an investment measured as a percentage between the peak and the trough) in profit. In this paper, we introduce an automated trading system based on performance weighted ensembles of random forests that improves the profitability and stability of trading seasonality events. An analysis of various regression techniques is performed as well as an exploration of the merits of various techniques for expert weighting. The performance of the models is analysed using a large sample of stocks from the DAX. The results show that recency-weighted ensembles of random forests produce superior results in terms of both profitability and prediction accuracy compared with other ensemble techniques. It is also found that using seasonality effects produces superior results than not having them modelled explicitly. © 2013 Elsevier Ltd. All rights reserved.","Algorithmic trading; Ensemble learning; Machine learning; Random forests; Stock price prediction","Algorithmic trading; Automated trading systems; Empirical regularities; Ensemble learning; Machine learning techniques; Random forests; Regression techniques; Stock price prediction; Decision trees; Economics; Expert systems; Forecasting; Learning systems; Profitability; Commerce",Article,"Final",,Scopus,2-s2.0-84891714796
